id,date,vaccines,confirmed,tests,recovered,deaths,population,confirmed_per,deaths_per,ratio,tests_per,vaccines_per,new_cases,new_cases_per
Germany,2021-11-19,117602785.0,5350562.0,,5246123.0,104024.0,82905782.0,6453.7862992475,125.47255148018506,1.9441696031183267,,1.4185112565490305,62535.0,75.42899722000129
Germany,2021-11-20,117822568.0,5392898.0,,5288230.0,104249.0,82905782.0,6504.851495158685,125.74394389042733,1.9330793944183629,,1.4211622537979318,42336.0,51.065195911184674
Germany,2021-11-21,117917317.0,5417674.0,83995737.0,5312803.0,104446.0,82905782.0,6534.736021186073,125.98156302295055,1.9278753206634434,101314.69117558049,1.4223051053302893,24776.0,29.884526027388347
Germany,2021-11-22,118334722.0,5464325.0,,5359011.0,104867.0,82905782.0,6591.00592043146,126.48936837722609,1.9191208429220443,,1.4273397963968304,46651.0,56.26989924538702
Germany,2021-11-23,119050251.0,5538855.0,,5433025.0,105359.0,82905782.0,6680.903148588599,127.08281311428918,1.902180143730067,,1.4359704248371965,74530.0,89.89722815713867
Germany,2021-11-24,119947549.0,5614571.0,,5508265.0,105819.0,82905782.0,6772.230916294837,127.63765981967337,1.8847210232090752,,1.4467935300338883,75716.0,91.32776770623786
Germany,2021-11-25,120832627.0,5686479.0,,5579722.0,106240.0,82905782.0,6858.965518231285,128.1454651739489,1.8682914330642917,,1.4574692389971065,71908.0,86.7346019364486
Germany,2021-11-26,121674496.0,5750545.0,,5643344.0,106664.0,82905782.0,6936.241190029424,128.65688909369433,1.8548502794082995,,1.4676237659756952,64066.0,77.27567179813832
Germany,2021-11-27,122248439.0,5795502.0,,5687977.0,106982.0,82905782.0,6990.467805972809,129.0404570335034,1.8459488065054588,,1.4745466003806587,44957.0,54.226615943385696
Germany,2021-11-28,122454304.0,5821068.0,85946674.0,5713366.0,107149.0,82905782.0,7021.30522090727,129.24189051132765,1.840710330131859,103667.88892962858,1.4770297203155263,25566.0,30.837414934460867
Germany,2021-11-29,123085975.0,5865441.0,,5757347.0,107521.0,82905782.0,7074.827422772515,129.69059262959487,1.8331272959697318,,1.4846488632119772,44373.0,53.522201865244824
Germany,2021-11-30,124007116.0,5939072.0,,5830514.0,107944.0,82905782.0,7163.640287477175,130.20081036085034,1.8175230069613568,,1.4957595599303315,73631.0,88.81286470465966
Germany,2021-12-01,125130604.0,6013095.0,,5904046.0,108368.0,82905782.0,7252.925978069901,130.71223428059577,1.8022000317640083,,1.5093109428724767,74023.0,89.2856905927265
Germany,2021-12-02,126231591.0,6081198.0,,5971708.0,108769.0,82905782.0,7335.0710328020305,131.19591586507198,1.7886113887428101,,1.5225909213424946,68103.0,82.14505473212921
Germany,2021-12-03,127301082.0,6143751.0,,6033867.0,109122.0,82905782.0,7410.521741414851,131.62170040202986,1.7761462012376479,,1.5354909986857128,62553.0,75.45070861282056
Germany,2021-12-04,128130701.0,6186267.0,,6076090.0,109392.0,82905782.0,7461.80405125423,131.9473712943206,1.7683038898903005,,1.545497767574281,42516.0,51.282309839379195
Germany,2021-12-05,128409599.0,6209363.0,87895428.0,6098987.0,109578.0,82905782.0,7489.662180618476,132.1717223534542,1.7647220817980847,106018.45357420306,1.5488618031490253,23096.0,27.858129364245542
