TestGesamt,FZHosp,FZICU,FZHospFree,FZICUFree,BundeslandID,Time
46945,5,1,1776,119,6,2020-05-26
70096,8,4,133,89,7,2020-05-26
19854,0,0,100,24,8,2020-05-26
96431,53,13,2949,292,9,2020-05-26
411185,95,32,12140,883,10,2020-05-26
12236,2,0,354,11,1,2020-05-27
15924,0,0,688,83,2,2020-05-27
62155,15,13,2530,157,3,2020-05-27
59169,7,0,2585,90,4,2020-05-27
32333,2,0,186,2,5,2020-05-27
47783,6,1,1587,113,6,2020-05-27
70667,7,4,128,90,7,2020-05-27
20095,0,0,100,26,8,2020-05-27
98344,45,14,2743,303,9,2020-05-27
418706,84,32,10901,875,10,2020-05-27
12623,2,0,365,12,1,2020-05-28
16295,0,0,688,84,2,2020-05-28
64267,13,13,2313,157,3,2020-05-28
60447,7,0,2460,84,4,2020-05-28
32726,2,0,186,2,5,2020-05-28
48843,7,1,1645,112,6,2020-05-28
71706,6,4,126,81,7,2020-05-28
20477,0,0,100,26,8,2020-05-28
99988,40,12,2664,295,9,2020-05-28
427372,77,30,10547,853,10,2020-05-28
12875,2,0,357,17,1,2020-05-29
16663,0,0,688,87,2,2020-05-29
66422,15,11,2260,159,3,2020-05-29
61552,7,0,2574,84,4,2020-05-29
32933,3,0,169,2,5,2020-05-29
49559,6,1,1536,107,6,2020-05-29
72349,9,3,115,78,7,2020-05-29
20871,0,0,100,28,8,2020-05-29
101078,36,10,2687,282,9,2020-05-29
434302,78,25,10486,844,10,2020-05-29
13058,2,0,440,13,1,2020-05-30
16935,0,0,80,40,2,2020-05-30
68149,15,10,2265,160,3,2020-05-30
62343,7,0,2574,84,4,2020-05-30
33149,0,0,172,2,5,2020-05-30
50347,6,0,1602,113,6,2020-05-30
72770,9,3,116,88,7,2020-05-30
21298,0,0,100,26,8,2020-05-30
104094,36,10,2949,297,9,2020-05-30
442143,75,23,10298,823,10,2020-05-30
12953,2,0,482,17,1,2020-05-31
17104,0,0,80,40,2,2020-05-31
69621,12,10,2516,160,3,2020-05-31
62819,7,0,2574,84,4,2020-05-31
33275,0,0,172,2,5,2020-05-31
50817,6,0,1602,113,6,2020-05-31
73319,4,3,125,75,7,2020-05-31
21763,0,0,100,26,8,2020-05-31
106863,39,14,3177,317,9,2020-05-31
448534,70,27,10828,834,10,2020-05-31
13028,2,0,463,20,1,2020-06-01
17204,0,0,80,40,2,2020-06-01
71433,11,10,3230,160,3,2020-06-01
63303,7,0,2574,84,4,2020-06-01
33355,0,0,172,2,5,2020-06-01
51330,5,2,2080,119,6,2020-06-01
73515,4,3,124,79,7,2020-06-01
21789,0,0,100,26,8,2020-06-01
106863,39,14,3177,317,9,2020-06-01
451820,68,29,12000,847,10,2020-06-01
13089,2,0,403,17,1,2020-06-02
17395,0,0,80,40,2,2020-06-02
72439,11,9,3390,161,3,2020-06-02
63575,3,0,3184,84,4,2020-06-02
33485,0,0,172,2,5,2020-06-02
51705,5,2,2061,118,6,2020-06-02
73959,4,3,130,77,7,2020-06-02
21789,0,0,100,25,8,2020-06-02
108942,37,12,3334,309,9,2020-06-02
456378,62,26,12854,833,10,2020-06-02
13232,2,0,371,17,1,2020-06-03
17836,0,0,80,40,2,2020-06-03
73642,13,6,3159,164,3,2020-06-03
64275,3,0,2490,85,4,2020-06-03
33675,0,0,134,2,5,2020-06-03
52371,5,2,1638,120,6,2020-06-03
74409,5,2,110,75,7,2020-06-03
21931,0,0,100,23,8,2020-06-03
111587,38,11,2810,313,9,2020-06-03
462958,66,21,10892,839,10,2020-06-03
13995,2,0,354,13,1,2020-06-04
18212,0,0,80,40,2,2020-06-04
74761,12,6,2369,164,3,2020-06-04
65176,4,0,2217,87,4,2020-06-04
33840,0,0,134,2,5,2020-06-04
53370,4,1,1528,102,6,2020-06-04
75312,3,2,107,58,7,2020-06-04
22248,0,0,100,19,8,2020-06-04
114552,40,13,2526,284,9,2020-06-04
471466,65,22,9415,769,10,2020-06-04
14101,2,0,345,15,1,2020-06-05
18555,0,0,80,40,2,2020-06-05
76964,12,6,2011,164,3,2020-06-05
66117,2,0,2156,89,4,2020-06-05
34111,0,0,134,2,5,2020-06-05
54110,2,1,1357,107,6,2020-06-05
76246,3,2,105,56,7,2020-06-05
22739,0,0,100,25,8,2020-06-05
116506,34,11,2386,282,9,2020-06-05
479449,55,20,8674,780,10,2020-06-05
14167,2,0,362,12,1,2020-06-06
19066,0,0,80,40,2,2020-06-06
77996,11,5,1949,165,3,2020-06-06
66859,2,0,2156,89,4,2020-06-06
34297,0,0,134,2,5,2020-06-06
54995,2,1,1450,101,6,2020-06-06
76524,1,1,104,59,7,2020-06-06
23126,0,0,100,25,8,2020-06-06
118882,37,10,2613,303,9,2020-06-06
485912,55,17,8948,796,10,2020-06-06
