Time,Bundesland,BundeslandID,AnzEinwohner,AnzahlFaelle,AnzahlFaelleSum,AnzahlFaelle7Tage,SiebenTageInzidenzFaelle,AnzahlTotTaeglich,AnzahlTotSum,AnzahlGeheiltTaeglich,AnzahlGeheiltSum
2020-11-11,Vorarlberg,8,397139,364,10414,2956,744.3238,2,66,264,6693
2020-11-11,Wien,9,1911191,1935,44860,7435,389.0244,10,444,679,24793
2020-11-11,Österreich,10,8901064,9191,184104,49006,550.5634,75,1869,4817,104649
2020-11-12,Burgenland,1,294436,219,5150,1474,500.6181,4,54,188,2891
2020-11-12,Kärnten,2,561293,846,7497,3106,553.3652,5,79,252,3247
2020-11-12,Niederösterreich,3,1684287,817,27574,6744,400.4068,14,320,657,16642
2020-11-12,Oberösterreich,4,1490279,1786,38180,12250,821.9937,14,290,1333,20704
2020-11-12,Salzburg,5,558410,805,13053,3570,639.3152,3,88,353,8090
2020-11-12,Steiermark,6,1246395,926,19898,6097,489.1708,16,385,638,9850
2020-11-12,Tirol,7,757634,679,23556,5752,759.2056,10,209,689,15849
2020-11-12,Vorarlberg,8,397139,803,11217,3378,850.5838,2,68,406,7099
2020-11-12,Wien,9,1911191,1372,46232,7935,415.1861,12,456,769,25562
2020-11-12,Österreich,10,8901064,8253,192357,50306,565.1684,80,1949,5285,109934
2020-11-13,Burgenland,1,294436,112,5262,1406,477.5231,4,58,184,3075
2020-11-13,Kärnten,2,561293,619,8116,3342,595.4109,6,85,244,3491
2020-11-13,Niederösterreich,3,1684287,929,28503,6539,388.2355,12,332,990,17632
2020-11-13,Oberösterreich,4,1490279,1675,39855,11669,783.0078,16,306,1726,22430
2020-11-13,Salzburg,5,558410,481,13534,3401,609.0507,3,91,564,8654
2020-11-13,Steiermark,6,1246395,963,20861,6047,485.1592,23,408,677,10527
2020-11-13,Tirol,7,757634,766,24322,5517,728.188,10,219,716,16565
2020-11-13,Vorarlberg,8,397139,357,11574,3252,818.8569,5,73,506,7605
2020-11-13,Wien,9,1911191,1106,47338,8035,420.4185,14,470,798,26360
